method,metric,roll_deg,pitch_deg,yaw_deg,overall_deg,time_shift_s,yaw_bias_deg
Complementary,MAE,1.4605686919896537,1.3770914339256268,9.291498680061915,,-0.0399999999999997,-100.98092256384783
Complementary,RMSE,2.2652131761358083,1.9228192519139446,15.226772956061186,,-0.0399999999999997,-100.98092256384783
Complementary,QuatMeanDeg,,,,11.66985310060701,-0.0399999999999997,-100.98092256384783
Madgwick,MAE,1.3469171781707523,1.6594556578698922,6.393720975438867,,-0.37,-90.92873700176209
Madgwick,RMSE,1.6818963516432235,1.992279365306706,9.79109170305668,,-0.37,-90.92873700176209
Madgwick,QuatMeanDeg,,,,8.861521945824725,-0.37,-90.92873700176209
